,城市,起始時間,結束時間,最低溫度,最高溫度,感覺
0,嘉義縣,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,27.0,舒適
1,新北市,2024-05-17 18:00:00,2024-05-18 06:00:00,23.0,27.0,舒適
2,嘉義市,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,28.0,舒適
3,新竹縣,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,25.0,舒適
4,新竹市,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,25.0,舒適
5,臺北市,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,27.0,舒適
6,臺南市,2024-05-17 18:00:00,2024-05-18 06:00:00,24.0,28.0,舒適
7,宜蘭縣,2024-05-17 18:00:00,2024-05-18 06:00:00,21.0,25.0,舒適
8,苗栗縣,2024-05-17 18:00:00,2024-05-18 06:00:00,20.0,25.0,舒適
9,雲林縣,2024-05-17 18:00:00,2024-05-18 06:00:00,21.0,27.0,舒適
10,花蓮縣,2024-05-17 18:00:00,2024-05-18 06:00:00,23.0,26.0,舒適
11,臺中市,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,27.0,舒適
12,臺東縣,2024-05-17 18:00:00,2024-05-18 06:00:00,23.0,27.0,舒適
13,桃園市,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,27.0,舒適
14,南投縣,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,28.0,舒適
15,高雄市,2024-05-17 18:00:00,2024-05-18 06:00:00,25.0,29.0,舒適
16,金門縣,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,24.0,舒適
17,屏東縣,2024-05-17 18:00:00,2024-05-18 06:00:00,24.0,29.0,舒適
18,基隆市,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,26.0,舒適
19,澎湖縣,2024-05-17 18:00:00,2024-05-18 06:00:00,23.0,24.0,舒適
20,彰化縣,2024-05-17 18:00:00,2024-05-18 06:00:00,22.0,27.0,舒適
21,連江縣,2024-05-17 18:00:00,2024-05-18 06:00:00,20.0,22.0,舒適
